race_id,horse_name,snapshot_label,odds,favorite_rank,available_at,race_start_at,captured_at,source,available_at_bet_time,is_pre_race,is_closing,is_post_market,bet_time,plain_odds_role,plain_odds_ambiguous,available_at_ts,bet_time_ts,race_start_ts,final_market_odds,post_market_info,closing_odds_contamination
SIM_0,,final odds,6.55,,2026-05-11T07:19:38.214182,,,,True,False,True,False,2026-05-11T07:19:38.214182,final odds,False,2026-05-11 07:19:38.214182,2026-05-11 07:19:38.214182,,True,False,False
SIM_0,,final odds,27.58,,2026-05-11T07:19:38.218349,,,,True,False,True,False,2026-05-11T07:19:38.218349,final odds,False,2026-05-11 07:19:38.218349,2026-05-11 07:19:38.218349,,True,False,False
SIM_0,,final odds,5.45,,2026-05-11T07:19:38.385748,,,,True,False,True,False,2026-05-11T07:19:38.385748,final odds,False,2026-05-11 07:19:38.385748,2026-05-11 07:19:38.385748,,True,False,False
SIM_0,,final odds,17.62,,2026-05-11T07:19:38.557305,,,,True,False,True,False,2026-05-11T07:19:38.557305,final odds,False,2026-05-11 07:19:38.557305,2026-05-11 07:19:38.557305,,True,False,False
SIM_0,,final odds,20.76,,2026-05-11T07:19:38.619889,,,,True,False,True,False,2026-05-11T07:19:38.619889,final odds,False,2026-05-11 07:19:38.619889,2026-05-11 07:19:38.619889,,True,False,False
SIM_0,,final odds,19.39,,2026-05-11T07:19:38.682311,,,,True,False,True,False,2026-05-11T07:19:38.682311,final odds,False,2026-05-11 07:19:38.682311,2026-05-11 07:19:38.682311,,True,False,False
SIM_0,,final odds,28.75,,2026-05-11T07:19:39.055358,,,,True,False,True,False,2026-05-11T07:19:39.055358,final odds,False,2026-05-11 07:19:39.055358,2026-05-11 07:19:39.055358,,True,False,False
SIM_0,,final odds,21.05,,2026-05-11T07:20:39.147984,,,,True,False,True,False,2026-05-11T07:20:39.147984,final odds,False,2026-05-11 07:20:39.147984,2026-05-11 07:20:39.147984,,True,False,False
SIM_0,,final odds,7.46,,2026-05-11T07:20:39.396577,,,,True,False,True,False,2026-05-11T07:20:39.396577,final odds,False,2026-05-11 07:20:39.396577,2026-05-11 07:20:39.396577,,True,False,False
SIM_0,,final odds,15.47,,2026-05-11T07:20:39.459511,,,,True,False,True,False,2026-05-11T07:20:39.459511,final odds,False,2026-05-11 07:20:39.459511,2026-05-11 07:20:39.459511,,True,False,False
SIM_0,,final odds,20.1,,2026-05-11T07:20:39.722944,,,,True,False,True,False,2026-05-11T07:20:39.722944,final odds,False,2026-05-11 07:20:39.722944,2026-05-11 07:20:39.722944,,True,False,False
SIM_0,,final odds,8.96,,2026-05-11T07:20:39.724171,,,,True,False,True,False,2026-05-11T07:20:39.724171,final odds,False,2026-05-11 07:20:39.724171,2026-05-11 07:20:39.724171,,True,False,False
SIM_0,,final odds,21.28,,2026-05-11T07:20:39.727786,,,,True,False,True,False,2026-05-11T07:20:39.727786,final odds,False,2026-05-11 07:20:39.727786,2026-05-11 07:20:39.727786,,True,False,False
SIM_0,,final odds,7.43,,2026-05-11T07:20:39.731922,,,,True,False,True,False,2026-05-11T07:20:39.731922,final odds,False,2026-05-11 07:20:39.731922,2026-05-11 07:20:39.731922,,True,False,False
SIM_0,,final odds,21.95,,2026-05-11T07:21:14.546552,,,,True,False,True,False,2026-05-11T07:21:14.546552,final odds,False,2026-05-11 07:21:14.546552,2026-05-11 07:21:14.546552,,True,False,False
SIM_0,,final odds,6.66,,2026-05-11T07:21:14.549086,,,,True,False,True,False,2026-05-11T07:21:14.549086,final odds,False,2026-05-11 07:21:14.549086,2026-05-11 07:21:14.549086,,True,False,False
SIM_0,,final odds,10.21,,2026-05-11T07:21:14.602673,,,,True,False,True,False,2026-05-11T07:21:14.602673,final odds,False,2026-05-11 07:21:14.602673,2026-05-11 07:21:14.602673,,True,False,False
SIM_0,,final odds,26.0,,2026-05-11T07:21:14.608186,,,,True,False,True,False,2026-05-11T07:21:14.608186,final odds,False,2026-05-11 07:21:14.608186,2026-05-11 07:21:14.608186,,True,False,False
SIM_0,,final odds,6.71,,2026-05-11T07:21:14.614196,,,,True,False,True,False,2026-05-11T07:21:14.614196,final odds,False,2026-05-11 07:21:14.614196,2026-05-11 07:21:14.614196,,True,False,False
SIM_0,,final odds,3.97,,2026-05-11T07:21:14.617708,,,,True,False,True,False,2026-05-11T07:21:14.617708,final odds,False,2026-05-11 07:21:14.617708,2026-05-11 07:21:14.617708,,True,False,False
SIM_0,,final odds,22.19,,2026-05-11T07:21:14.620729,,,,True,False,True,False,2026-05-11T07:21:14.620729,final odds,False,2026-05-11 07:21:14.620729,2026-05-11 07:21:14.620729,,True,False,False
SIM_0,,final odds,15.1,,2026-05-11T07:21:46.700736,,,,True,False,True,False,2026-05-11T07:21:46.700736,final odds,False,2026-05-11 07:21:46.700736,2026-05-11 07:21:46.700736,,True,False,False
SIM_0,,final odds,29.97,,2026-05-11T07:21:46.702743,,,,True,False,True,False,2026-05-11T07:21:46.702743,final odds,False,2026-05-11 07:21:46.702743,2026-05-11 07:21:46.702743,,True,False,False
SIM_0,,final odds,28.92,,2026-05-11T07:21:46.708429,,,,True,False,True,False,2026-05-11T07:21:46.708429,final odds,False,2026-05-11 07:21:46.708429,2026-05-11 07:21:46.708429,,True,False,False
